id,bulletin_date,table_type,category,country,priority_date,is_current,is_unavailable,scraped_at
551.0,2026-07-01,Dates_for_Filing,1st,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
552.0,2026-07-01,Dates_for_Filing,1st,China,2023-12-01,0,0,2026-06-22 19:08:29
553.0,2026-07-01,Dates_for_Filing,1st,India,2023-12-01,0,0,2026-06-22 19:08:29
554.0,2026-07-01,Dates_for_Filing,1st,Mexico,CURRENT,1,0,2026-06-22 19:08:29
555.0,2026-07-01,Dates_for_Filing,1st,Philippines,CURRENT,1,0,2026-06-22 19:08:29
556.0,2026-07-01,Dates_for_Filing,2nd,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
557.0,2026-07-01,Dates_for_Filing,2nd,China,2022-01-01,0,0,2026-06-22 19:08:29
558.0,2026-07-01,Dates_for_Filing,2nd,India,2015-01-15,0,0,2026-06-22 19:08:29
559.0,2026-07-01,Dates_for_Filing,2nd,Mexico,CURRENT,1,0,2026-06-22 19:08:29
560.0,2026-07-01,Dates_for_Filing,2nd,Philippines,CURRENT,1,0,2026-06-22 19:08:29
561.0,2026-07-01,Dates_for_Filing,3rd,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
562.0,2026-07-01,Dates_for_Filing,3rd,China,2022-01-01,0,0,2026-06-22 19:08:29
563.0,2026-07-01,Dates_for_Filing,3rd,India,2015-01-15,0,0,2026-06-22 19:08:29
564.0,2026-07-01,Dates_for_Filing,3rd,Mexico,CURRENT,1,0,2026-06-22 19:08:29
565.0,2026-07-01,Dates_for_Filing,3rd,Philippines,2024-01-01,0,0,2026-06-22 19:08:29
571.0,2026-07-01,Dates_for_Filing,4th,All_Chargeability_Areas,2023-01-01,0,0,2026-06-22 19:08:29
572.0,2026-07-01,Dates_for_Filing,4th,China,2023-01-01,0,0,2026-06-22 19:08:29
573.0,2026-07-01,Dates_for_Filing,4th,India,2023-01-01,0,0,2026-06-22 19:08:29
574.0,2026-07-01,Dates_for_Filing,4th,Mexico,2023-01-01,0,0,2026-06-22 19:08:29
575.0,2026-07-01,Dates_for_Filing,4th,Philippines,2023-01-01,0,0,2026-06-22 19:08:29
