bulletin_date,1st,2nd,3rd,4th,5th High Unemployment,5th Infrastructure,5th Rural,5th Unreserved,Certain Religious Workers,Other Workers
2023-10-01,CURRENT,2023-01-01,2023-01-01,2019-03-01,CURRENT,CURRENT,CURRENT,CURRENT,2019-03-01,2020-05-15
2023-11-01,CURRENT,2023-01-01,2023-01-01,2019-03-01,CURRENT,CURRENT,CURRENT,CURRENT,2019-03-01,2020-05-15
2023-12-01,CURRENT,2023-01-01,2023-01-01,2019-03-01,CURRENT,CURRENT,CURRENT,CURRENT,2019-03-01,2020-05-15
2024-01-01,CURRENT,2023-02-15,2023-01-01,2019-09-01,CURRENT,CURRENT,CURRENT,CURRENT,2019-09-01,2020-05-15
2024-02-01,CURRENT,2023-02-15,2023-01-01,2019-09-01,CURRENT,CURRENT,CURRENT,CURRENT,2019-09-01,2020-05-15
2024-03-01,CURRENT,2023-02-15,2023-01-01,2020-01-01,CURRENT,CURRENT,CURRENT,CURRENT,2020-01-01,2020-05-15
2024-04-01,CURRENT,2023-02-15,2023-01-01,2020-12-01,CURRENT,CURRENT,CURRENT,CURRENT,2020-12-01,2020-05-15
2024-05-01,CURRENT,2023-02-15,2023-01-01,2020-12-01,CURRENT,CURRENT,CURRENT,CURRENT,2020-12-01,2020-05-15
2024-06-01,CURRENT,2023-02-15,2023-01-01,2020-12-01,CURRENT,CURRENT,CURRENT,CURRENT,2020-12-01,2020-05-15
2024-07-01,CURRENT,2023-03-22,2023-01-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2020-05-15
2024-08-01,CURRENT,2023-03-22,2023-01-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2020-05-15
2024-09-01,CURRENT,2023-03-22,2023-01-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2020-05-15
2024-10-01,CURRENT,2023-08-01,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-05-22
2024-11-01,CURRENT,2023-08-01,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-05-22
2024-12-01,CURRENT,2023-08-01,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-05-22
2025-01-01,CURRENT,2023-08-01,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-05-22
2025-02-01,CURRENT,2023-08-01,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-05-22
2025-03-01,CURRENT,2023-08-01,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-05-22
2025-04-01,CURRENT,2023-08-01,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-06-22
2025-05-01,CURRENT,2023-08-01,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-06-22
2025-06-01,CURRENT,2023-11-15,2023-03-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-07-22
2025-07-01,CURRENT,2023-11-15,2023-05-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-07-22
2025-08-01,CURRENT,2023-11-15,2023-05-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-07-22
2025-09-01,CURRENT,2023-11-15,2023-05-01,2021-02-01,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-01,2021-07-22
2025-10-01,CURRENT,2024-07-15,2023-07-01,2021-02-15,CURRENT,CURRENT,CURRENT,CURRENT,UNAVAILABLE,2021-12-01
2025-11-01,CURRENT,2024-07-15,2023-07-01,2021-02-15,CURRENT,CURRENT,CURRENT,CURRENT,UNAVAILABLE,2021-12-01
2025-12-01,CURRENT,2024-07-15,2023-07-01,2021-02-15,CURRENT,CURRENT,CURRENT,CURRENT,2021-02-15,2021-12-01
2026-01-01,CURRENT,2024-10-15,2023-07-01,2021-03-15,CURRENT,CURRENT,CURRENT,CURRENT,2021-03-15,2021-12-01
2026-02-01,CURRENT,2024-10-15,2023-10-01,2021-03-15,CURRENT,CURRENT,CURRENT,CURRENT,UNAVAILABLE,2021-12-01
2026-03-01,CURRENT,CURRENT,2024-01-15,2023-01-01,CURRENT,CURRENT,CURRENT,CURRENT,2023-01-01,2022-06-22
