bulletin_date,1st,2nd,3rd,4th,5th High Unemployment,5th Infrastructure,5th Non-Regional Center (C5 and T5),5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),5th Regional Center (I5 and R5),5th Rural,5th Unreserved,5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),Certain Religious Workers,Other Workers
2016-05-01,CURRENT,2013-06-01,2015-05-01,CURRENT,,,,,,,,,2015-05-01,2015-05-01,CURRENT,2008-04-01
2016-06-01,CURRENT,2013-06-01,2015-05-01,CURRENT,,,,,,,,,2015-05-01,2015-05-01,CURRENT,2009-08-01
2016-07-01,CURRENT,2013-06-01,2015-05-01,CURRENT,,,,,,,,,2015-05-01,2015-05-01,CURRENT,2009-08-01
2016-08-01,CURRENT,2013-06-01,2015-05-01,CURRENT,,,,,,,,,2015-05-01,2015-05-01,CURRENT,2009-08-01
2016-09-01,CURRENT,2013-06-01,2015-05-01,CURRENT,,,,2015-05-01,,,,,,2015-05-01,CURRENT,2009-08-01
2016-10-01,CURRENT,2013-03-01,2014-05-01,CURRENT,,,,,,,,,2014-06-15,2014-06-15,CURRENT,2009-08-01
2016-11-01,CURRENT,2013-03-01,2014-05-01,CURRENT,,,,,,,,,2014-06-15,2014-06-15,CURRENT,2009-08-01
2016-12-01,CURRENT,2013-03-01,2014-05-01,CURRENT,,,,,,,,,2014-06-15,2014-06-15,CURRENT,2009-08-01
2017-01-01,CURRENT,2013-03-01,2014-05-01,CURRENT,,,,,,,,,2014-06-15,2014-06-15,CURRENT,2009-08-01
2017-02-01,CURRENT,2013-03-01,2014-05-01,CURRENT,,,,,,,,,2014-06-15,2014-06-15,CURRENT,2009-08-01
2017-03-01,CURRENT,2013-03-01,2014-05-01,CURRENT,,,,,,,,,2014-06-15,2014-06-15,CURRENT,2009-08-01
2017-04-01,CURRENT,2013-03-01,2014-05-01,CURRENT,,,,,,,,,2014-06-15,2014-06-15,CURRENT,2009-08-01
2017-05-01,CURRENT,2013-10-01,2015-09-01,CURRENT,,,,,,,,,2014-09-01,2014-09-01,CURRENT,2008-06-01
2017-06-01,CURRENT,2013-10-01,2015-09-01,CURRENT,,,,,,,,,2014-09-01,2014-09-01,CURRENT,2008-06-01
2017-07-01,CURRENT,2013-10-01,2015-09-01,CURRENT,,,,,,,,,2014-09-01,2014-09-01,CURRENT,2008-06-01
2017-08-01,CURRENT,2013-10-01,2015-09-01,CURRENT,,,,,,2014-09-01,,,2014-09-01,,CURRENT,2008-06-01
2017-09-01,CURRENT,2013-10-01,2015-09-01,CURRENT,,,,,,,,,2014-09-01,2014-09-01,CURRENT,2008-06-01
2017-10-01,CURRENT,2013-11-15,2015-09-01,CURRENT,,,2014-10-01,,2014-10-01,,,,,,CURRENT,2008-06-01
2017-11-01,CURRENT,2013-11-15,2015-09-01,CURRENT,,,,,,,,,2014-10-01,2014-10-01,CURRENT,2008-06-01
2017-12-01,CURRENT,2013-11-15,2015-09-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2018-01-01,CURRENT,2013-11-15,2015-09-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2018-02-01,CURRENT,2014-11-15,2016-01-01,CURRENT,,,,2014-09-01,,,,,,2014-09-01,CURRENT,2008-06-01
2018-03-01,CURRENT,2015-02-01,2016-01-01,CURRENT,,,,2014-09-01,,,,,,2014-09-01,CURRENT,2008-06-01
2018-04-01,CURRENT,2015-02-01,2016-01-01,CURRENT,,,,2014-09-01,,,,,,2014-09-01,CURRENT,2008-06-01
2018-05-01,CURRENT,2015-02-01,2016-01-01,CURRENT,,,,2014-09-01,,,,,,2014-09-01,CURRENT,2008-06-01
2018-06-01,CURRENT,2015-02-01,2016-01-01,CURRENT,,,,2014-09-01,,,,,,2014-09-01,CURRENT,2008-06-01
2018-07-01,CURRENT,2015-04-01,2016-01-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2018-08-01,CURRENT,2015-04-01,2016-01-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2018-09-01,CURRENT,2015-04-01,2016-01-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2018-10-01,2017-10-01,2015-06-15,2015-08-08,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2018-11-01,2017-10-01,2015-06-15,2015-08-08,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2018-12-01,2017-10-01,2015-09-08,2015-12-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2019-01-01,2017-10-01,2015-09-08,2016-01-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2019-02-01,2017-10-01,2015-11-01,2016-01-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2019-03-01,2017-10-01,2016-05-01,2016-01-01,CURRENT,,,,2014-10-01,,,,,,2014-10-01,CURRENT,2008-06-01
2019-04-01,2017-10-01,2016-07-01,2016-01-01,CURRENT,,,,2014-10-08,,,,,,2014-10-08,CURRENT,2008-06-01
2019-05-01,2017-10-01,2016-09-01,2016-01-01,CURRENT,,,,2014-10-15,,,,,,2014-10-15,CURRENT,2008-06-01
2019-06-01,2017-10-01,2016-11-01,2016-01-01,CURRENT,,,,2014-11-01,,,,,,2014-11-01,CURRENT,2008-06-01
2019-07-01,2017-10-01,2017-02-01,2016-06-01,CURRENT,,,,2014-11-01,,,,,,2014-11-01,CURRENT,2008-06-01
2019-08-01,2017-10-01,2017-02-01,2016-06-01,CURRENT,,,,2014-11-15,,,,,,2014-11-15,CURRENT,2008-06-01
2019-09-01,2017-10-01,2017-06-01,2016-06-01,CURRENT,,,,2014-11-22,,,,,,2014-11-22,CURRENT,2008-06-01
2019-10-01,2017-09-01,2016-08-01,2017-03-01,CURRENT,,,,2015-01-01,,,,,,2015-01-01,CURRENT,2008-08-01
2019-11-01,2017-09-01,2016-08-01,2017-03-01,CURRENT,,,,2015-01-01,,,,,,2015-01-01,CURRENT,2008-08-01
2019-12-01,2017-09-01,2016-08-01,2017-03-01,CURRENT,,,,2015-05-15,,,,,,2015-05-15,CURRENT,2008-08-01
2020-01-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-05-15,,,,,,2015-05-15,CURRENT,2008-08-01
2020-02-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-05-15,,,,,,2015-05-15,CURRENT,2008-08-01
2020-03-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-08-01
2020-04-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-08-01
2020-05-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-08-01
