bulletin_date,1st,2A*,2B,2nd,3rd,4th,5th High Unemployment,5th Infrastructure,5th Non-Regional Center (C5 and T5),5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),5th Regional Center (I5 and R5),5th Rural,5th Targeted Employment Areas/ Regional Centers and Pilot Programs,5th Unreserved,5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),Certain Religious Workers,Other Workers
2002-05-01,1999-03-01,1997-01-15,1993-09-01,,1996-06-22,1989-05-01,,,,,,,,,,,,,
2002-06-01,1995-07-01,1997-03-01,1993-10-01,,1996-07-08,1989-07-01,,,,,,,,,,,,,
2002-07-01,1995-07-01,1997-04-15,1993-11-01,,1996-07-22,1990-05-22,,,,,,,,,,,,,
2003-07-01,1999-12-15,1998-05-15,1994-12-01,,1997-04-15,1990-03-22,,,,,,,,,,,,,
2003-08-01,2000-02-01,1998-07-01,1995-01-15,,1997-05-01,1990-05-22,,,,,,,,,,,,,
2003-09-01,2000-04-08,1998-08-15,1995-03-15,,1997-06-08,1990-01-01,,,,,,,,,,,,,
2003-10-01,2000-05-15,1998-09-15,1995-05-01,,1997-07-01,1990-07-22,,,,,,,,,,,,,
2003-11-01,2000-06-15,1998-10-08,1995-05-01,,1997-08-01,1990-08-15,,,,,,,,,,,,,
2003-12-01,2000-07-15,1998-11-15,1995-05-01,,1997-08-15,1990-10-01,,,,,,,,,,,,,
2004-01-01,2000-08-01,1999-01-01,1995-05-08,,1997-08-22,1990-11-22,,,,,,,,,,,,,
2004-05-01,2000-10-22,1999-10-15,1995-05-15,,1997-10-15,1991-04-01,,,,,,,,,,,,,
2004-06-01,2000-10-22,1999-12-08,1995-06-15,,1997-10-15,1991-05-15,,,,,,,,,,,,,
2015-10-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,CURRENT,,,,CURRENT,2005-07-01
2015-11-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,CURRENT,CURRENT,,,,,,,CURRENT,2005-07-01
2015-12-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,CURRENT,,CURRENT,,,,,,,CURRENT,2005-07-01
2016-01-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,CURRENT,,CURRENT,,,,,,,CURRENT,2005-07-01
2016-02-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,CURRENT,,CURRENT,,,,,,,CURRENT,2005-07-01
2016-03-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,CURRENT,CURRENT,,,,,,,CURRENT,2005-07-01
2016-04-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,CURRENT,CURRENT,,,,,,,CURRENT,2005-07-01
2016-05-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-06-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-07-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-08-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-09-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2005-07-01
2016-10-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-11-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-12-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-01-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-02-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-03-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-04-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-05-01,CURRENT,,,2009-02-01,2006-04-22,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2006-04-22
2017-06-01,CURRENT,,,2009-02-01,2006-04-22,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2006-04-22
2017-07-01,CURRENT,,,2009-02-01,2006-10-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2006-10-01
2017-08-01,CURRENT,,,2009-02-01,2007-01-01,CURRENT,,,,,,CURRENT,,,,CURRENT,,CURRENT,2007-01-01
2017-09-01,CURRENT,,,2009-02-01,2007-01-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2007-01-01
2017-10-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,CURRENT,,CURRENT,,,,,,,CURRENT,2008-01-01
2017-11-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2008-01-01
2017-12-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-01-01
2018-01-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-01-01
2018-02-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-01-01
2018-03-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-01-01
2018-04-01,CURRENT,,,2009-02-08,2008-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-04-01
2018-05-01,CURRENT,,,2009-04-01,2008-09-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-09-01
2018-06-01,CURRENT,,,2009-04-01,2008-09-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-09-01
2018-07-01,CURRENT,,,2009-05-22,2009-05-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-05-01
2018-08-01,CURRENT,,,2009-05-22,2009-05-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-05-01
2018-09-01,CURRENT,,,2009-05-22,2009-05-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-05-01
2018-10-01,2017-10-01,,,2009-05-22,2009-10-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-10-01
2018-11-01,2017-10-01,,,2009-05-22,2009-10-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-10-01
2018-12-01,2017-10-01,,,2009-05-22,2010-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-01-01
2019-01-01,2017-10-01,,,2009-05-22,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-02-01,2017-10-01,,,2009-05-22,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-03-01,2017-10-01,,,2009-05-22,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
