id,bulletin_date,table_type,category,country,priority_date,is_current,is_unavailable,scraped_at
3435,2026-03-01,Dates_for_Filing,1st,All_Chargeability_Areas,CURRENT,1,0,2026-02-20 02:40:47
3436,2026-03-01,Dates_for_Filing,1st,China,2023-12-01,0,0,2026-02-20 02:40:47
3437,2026-03-01,Dates_for_Filing,1st,India,2023-12-01,0,0,2026-02-20 02:40:47
3438,2026-03-01,Dates_for_Filing,1st,Mexico,CURRENT,1,0,2026-02-20 02:40:47
3439,2026-03-01,Dates_for_Filing,1st,Philippines,CURRENT,1,0,2026-02-20 02:40:47
3440,2026-03-01,Dates_for_Filing,2nd,All_Chargeability_Areas,CURRENT,1,0,2026-02-20 02:40:47
3441,2026-03-01,Dates_for_Filing,2nd,China,2022-01-01,0,0,2026-02-20 02:40:47
3442,2026-03-01,Dates_for_Filing,2nd,India,2014-11-01,0,0,2026-02-20 02:40:47
3443,2026-03-01,Dates_for_Filing,2nd,Mexico,CURRENT,1,0,2026-02-20 02:40:47
3444,2026-03-01,Dates_for_Filing,2nd,Philippines,CURRENT,1,0,2026-02-20 02:40:47
3445,2026-03-01,Dates_for_Filing,3rd,All_Chargeability_Areas,2024-01-15,0,0,2026-02-20 02:40:47
3446,2026-03-01,Dates_for_Filing,3rd,China,2022-01-01,0,0,2026-02-20 02:40:47
3447,2026-03-01,Dates_for_Filing,3rd,India,2014-08-15,0,0,2026-02-20 02:40:47
3448,2026-03-01,Dates_for_Filing,3rd,Mexico,2024-01-15,0,0,2026-02-20 02:40:47
3449,2026-03-01,Dates_for_Filing,3rd,Philippines,2024-01-15,0,0,2026-02-20 02:40:47
3455,2026-03-01,Dates_for_Filing,4th,All_Chargeability_Areas,2023-01-01,0,0,2026-02-20 02:40:47
3456,2026-03-01,Dates_for_Filing,4th,China,2023-01-01,0,0,2026-02-20 02:40:47
3457,2026-03-01,Dates_for_Filing,4th,India,2023-01-01,0,0,2026-02-20 02:40:47
3458,2026-03-01,Dates_for_Filing,4th,Mexico,2023-01-01,0,0,2026-02-20 02:40:47
3459,2026-03-01,Dates_for_Filing,4th,Philippines,2023-01-01,0,0,2026-02-20 02:40:47
3475,2026-03-01,Dates_for_Filing,5th High Unemployment,All_Chargeability_Areas,CURRENT,1,0,2026-02-20 02:40:47
3476,2026-03-01,Dates_for_Filing,5th High Unemployment,China,CURRENT,1,0,2026-02-20 02:40:47
3477,2026-03-01,Dates_for_Filing,5th High Unemployment,India,CURRENT,1,0,2026-02-20 02:40:47
3478,2026-03-01,Dates_for_Filing,5th High Unemployment,Mexico,CURRENT,1,0,2026-02-20 02:40:47
3479,2026-03-01,Dates_for_Filing,5th High Unemployment,Philippines,CURRENT,1,0,2026-02-20 02:40:47
3480,2026-03-01,Dates_for_Filing,5th Infrastructure,All_Chargeability_Areas,CURRENT,1,0,2026-02-20 02:40:47
